algorithm,start_node,goal_node,distance_m,expanded_nodes,path_nodes,computation_time_ms,timestamp
Dijkstra,0,6,100,70,2,1.0552406311035156,2025-11-13 02:45:02.986330
A*,0,6,100,36,2,0.5409717559814453,2025-11-13 02:45:02.987119
A*,18,31,300,36,4,0.10991096496582031,2025-11-13 02:45:02.987711
A*,18,20,200,36,3,0.029325485229492188,2025-11-13 02:45:02.987754
A*,18,0,300,36,4,0.04220008850097656,2025-11-13 02:45:02.987802
A*,18,6,200,36,3,0.022172927856445312,2025-11-13 02:45:02.987827
A*,18,13,200,36,3,0.023126602172851562,2025-11-13 02:45:02.987862
A*,18,25,200,36,3,0.021696090698242188,2025-11-13 02:45:02.987887
A*,20,31,300,36,4,0.08058547973632812,2025-11-13 02:45:02.987975
A*,20,0,500,36,6,0.1366138458251953,2025-11-13 02:45:02.988116
A*,20,6,400,36,5,0.10561943054199219,2025-11-13 02:45:02.988227
A*,20,13,200,36,3,0.035762786865234375,2025-11-13 02:45:02.988268
A*,20,25,200,36,3,0.030279159545898438,2025-11-13 02:45:02.988302
A*,13,31,300,36,4,0.06818771362304688,2025-11-13 02:45:02.988376
A*,13,0,300,36,4,0.072479248046875,2025-11-13 02:45:02.988454
A*,13,6,200,36,3,0.05698204040527344,2025-11-13 02:45:02.988516
A*,13,25,200,36,3,0.043392181396484375,2025-11-13 02:45:02.988566
A*,6,31,500,36,6,0.11587142944335938,2025-11-13 02:45:02.988689
A*,6,0,100,36,2,0.0152587890625,2025-11-13 02:45:02.988710
A*,6,25,400,36,5,0.07963180541992188,2025-11-13 02:45:02.988795
A*,0,31,600,36,7,0.10228157043457031,2025-11-13 02:45:02.988904
A*,0,25,500,36,6,0.06031990051269531,2025-11-13 02:45:02.988969
A*,25,31,100,36,2,0.010967254638671875,2025-11-13 02:45:02.988984
A*,31,18,300,36,4,0.03600120544433594,2025-11-13 02:45:02.989025
A*,18,31,300,36,4,0.11467933654785156,2025-11-13 02:45:02.989651
A*,18,20,200,36,3,0.027894973754882812,2025-11-13 02:45:02.989693
A*,18,0,300,36,4,0.040531158447265625,2025-11-13 02:45:02.989738
A*,18,6,200,36,3,0.02193450927734375,2025-11-13 02:45:02.989764
A*,18,13,200,36,3,0.021219253540039062,2025-11-13 02:45:02.989788
A*,18,25,200,36,3,0.021219253540039062,2025-11-13 02:45:02.989812
A*,20,31,300,36,4,0.06461143493652344,2025-11-13 02:45:02.989881
A*,20,0,500,36,6,0.11444091796875,2025-11-13 02:45:02.989999
A*,20,6,400,36,5,0.08988380432128906,2025-11-13 02:45:02.990092
A*,20,13,200,36,3,0.029325485229492188,2025-11-13 02:45:02.990125
A*,20,25,200,36,3,0.029802322387695312,2025-11-13 02:45:02.990158
A*,13,31,300,36,4,0.05221366882324219,2025-11-13 02:45:02.990216
A*,13,0,300,36,4,0.051975250244140625,2025-11-13 02:45:02.990272
A*,13,6,200,36,3,0.02765655517578125,2025-11-13 02:45:02.990302
A*,13,25,200,36,3,0.027418136596679688,2025-11-13 02:45:02.990333
A*,6,31,500,36,6,0.072479248046875,2025-11-13 02:45:02.990409
A*,6,0,100,36,2,0.009775161743164062,2025-11-13 02:45:02.990422
A*,6,25,400,36,5,0.05269050598144531,2025-11-13 02:45:02.990478
A*,0,31,600,36,7,0.0782012939453125,2025-11-13 02:45:02.990560
A*,0,25,500,36,6,0.05888938903808594,2025-11-13 02:45:02.990622
A*,25,31,100,36,2,0.010967254638671875,2025-11-13 02:45:02.990639
A*,31,18,300,36,4,0.21314620971679688,2025-11-13 02:45:02.990861
A*,18,31,300,36,4,0.13113021850585938,2025-11-13 02:45:02.991547
A*,18,20,200,36,3,0.025987625122070312,2025-11-13 02:45:02.991584
A*,18,0,300,36,4,0.05650520324707031,2025-11-13 02:45:02.991645
A*,18,6,200,36,3,0.03719329833984375,2025-11-13 02:45:02.991686
A*,18,13,200,36,3,0.026226043701171875,2025-11-13 02:45:02.991717
A*,18,25,200,36,3,0.021696090698242188,2025-11-13 02:45:02.991741
A*,20,31,300,36,4,0.07104873657226562,2025-11-13 02:45:02.991818
A*,20,0,500,36,6,0.12087821960449219,2025-11-13 02:45:02.991947
A*,20,6,400,36,5,0.12946128845214844,2025-11-13 02:45:02.992082
A*,20,13,200,36,3,0.04076957702636719,2025-11-13 02:45:02.992130
A*,20,25,200,36,3,0.030517578125,2025-11-13 02:45:02.992165
A*,13,31,300,36,4,0.06699562072753906,2025-11-13 02:45:02.992239
A*,13,0,300,36,4,0.06318092346191406,2025-11-13 02:45:02.992307
A*,13,6,200,36,3,0.03719329833984375,2025-11-13 02:45:02.992349
A*,13,25,200,36,3,0.03743171691894531,2025-11-13 02:45:02.992391
A*,6,31,500,36,6,0.11110305786132812,2025-11-13 02:45:02.992508
A*,6,0,100,36,2,0.012159347534179688,2025-11-13 02:45:02.992526
A*,6,25,400,36,5,0.07748603820800781,2025-11-13 02:45:02.992624
A*,0,31,600,36,7,0.11205673217773438,2025-11-13 02:45:02.992744
A*,0,25,500,36,6,0.06628036499023438,2025-11-13 02:45:02.992817
A*,25,31,100,36,2,0.011205673217773438,2025-11-13 02:45:02.992833
A*,31,18,300,36,4,0.04029273986816406,2025-11-13 02:45:02.992878
